,seller_type,year,mileage,name,torque,seats,km_driven,transmission,owner,engine,max_power,fuel
495,Individual,2018,21.03 kmpl,Mahindra Verito 1.5 D4 BSIV,160Nm@ 2000rpm,5.0,22000,Manual,First Owner,1461 CC,65 bhp,Diesel
496,Individual,2010,14.7 kmpl,Chevrolet Aveo U-VA 1.2,"11.2@ 4,400(kgm@ rpm)",5.0,70000,Manual,Third Owner,1150 CC,76 bhp,Petrol
497,Individual,2016,20.85 kmpl,Maruti Swift Dzire VXI,115Nm@ 4000rpm,5.0,60000,Manual,Second Owner,1197 CC,83.14 bhp,Petrol
498,Dealer,2014,15.05 kmpl,Tata Aria Pure LX 4x2,320Nm@ 1500-3000rpm,7.0,78000,Manual,Second Owner,2179 CC,147.9 bhp,Diesel
499,Individual,2012,18.9 kmpl,Maruti Wagon R VXI BSIII,90Nm@ 3500rpm,5.0,31000,Manual,First Owner,998 CC,67.1 bhp,Petrol
500,Individual,2015,22.54 kmpl,Hyundai i20 Sportz Option 1.4 CRDi,219.7Nm@ 1500-2750rpm,5.0,72000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
501,Individual,2017,15.37 kmpl,Maruti Eeco 5 Seater AC BSIV,101Nm@ 3000rpm,5.0,90000,Manual,First Owner,1196 CC,73 bhp,Petrol
502,Individual,2017,23.84 kmpl,Tata Tiago 1.2 Revotron XT,114Nm@ 3500rpm,5.0,68000,Manual,Second Owner,1199 CC,84 bhp,Petrol
503,Individual,2011,17.88 kmpl,Tata Indica V2 DLE BSIII,85Nm@ 2500rpm,5.0,172000,Manual,Second Owner,1396 CC,52.8 bhp,Diesel
504,Dealer,2017,13.68 kmpl,Toyota Innova Crysta 2.4 VX MT 8S BSIV,343Nm@ 1400-2800rpm,8.0,36000,Manual,First Owner,2393 CC,147.8 bhp,Diesel
505,Individual,2015,24.4 kmpl,Hyundai Xcent 1.1 CRDi Base,180.4Nm@ 1750-2500rpm,5.0,91000,Manual,Third Owner,1120 CC,71 bhp,Diesel
506,Individual,2017,20.51 kmpl,Maruti Wagon R VXI BS IV,90Nm@ 3500rpm,5.0,65000,Manual,Second Owner,998 CC,67.04 bhp,Petrol
507,Individual,2013,21.1 kmpl,Hyundai EON Era Plus,74.5Nm@ 4000rpm,5.0,20000,Manual,First Owner,814 CC,55.2 bhp,Petrol
508,Individual,2011,,Toyota Etios V,,,28100,Manual,First Owner,,,Petrol
509,Dealer,2017,14.53 kmpl,Toyota Corolla Altis 1.8 VL AT,173Nm@ 4000rpm,5.0,7000,Automatic,Second Owner,1794 CC,138.1 bhp,Petrol
510,Individual,2013,21.64 kmpl,Nissan Sunny Diesel XV,200Nm@ 2000rpm,5.0,212000,Manual,First Owner,1461 CC,84.8 bhp,Diesel
511,Individual,2010,19.7 kmpl,Maruti Alto LX,62Nm@ 3000rpm,5.0,80000,Manual,Fourth & Above Owner,796 CC,46.3 bhp,Petrol
512,Individual,1999,15.9 kmpl,Maruti Esteem LX - BSIII,110Nm@ 4500rpm,5.0,65000,Manual,Fourth & Above Owner,1298 CC,85 bhp,Petrol
513,Individual,2016,18.9 kmpl,Hyundai Grand i10 Magna,114Nm@ 4000rpm,5.0,80000,Manual,Second Owner,1197 CC,82 bhp,Petrol
514,Individual,2012,20.92 kmpl,Maruti Alto K10 2010-2014 VXI,90Nm@ 3500rpm,5.0,50000,Manual,First Owner,998 CC,67.1 bhp,Petrol
515,Dealer,2019,16.78 kmpl,BMW X4 M Sport X xDrive20d,400Nm@ 1750-2500rpm,5.0,7500,Automatic,First Owner,1995 CC,190 bhp,Diesel
516,Individual,2018,25.5 kmpl,Honda WR-V i-DTEC VX,200Nm@ 1750rpm,5.0,30000,Manual,First Owner,1498 CC,98.6 bhp,Diesel
517,Individual,2016,10.91 kmpl,Ford Endeavour 3.2 Titanium AT 4X4,470Nm@ 1750-2500rpm,7.0,80000,Automatic,First Owner,3198 CC,197 bhp,Diesel
518,Individual,2015,25.4 kmpl,Tata Nano LX,51Nm@ 4000+/-500rpm,4.0,60000,Manual,First Owner,624 CC,37.48 bhp,Petrol
519,Individual,2018,18.15 kmpl,Mahindra KUV 100 G80 K8 Dual Tone,115Nm@ 3500-3600rpm,6.0,60000,Manual,First Owner,1198 CC,82 bhp,Petrol
520,Dealer,2017,13.5 kmpl,Mercedes-Benz S-Class S 350 CDI,620Nm@ 1600-2400rpm,5.0,37000,Automatic,First Owner,2987 CC,254.79 bhp,Diesel
521,Individual,2018,20.3 kmpl,Tata Tigor 1.2 Revotron XT,114Nm@ 3500rpm,5.0,35000,Manual,First Owner,1199 CC,84 bhp,Petrol
522,Individual,2016,24.0 kmpl,Hyundai Grand i10 CRDi Sportz,160Nm@ 1500-2750rpm,5.0,30000,Manual,First Owner,1120 CC,70 bhp,Diesel
523,Individual,2018,17.01 kmpl,Hyundai Creta 1.6 CRDi AT SX Plus,259.9Nm@ 1900-2750rpm,5.0,44000,Automatic,First Owner,1582 CC,126.2 bhp,Diesel
524,Individual,2011,21.9 kmpl,Hyundai i20 1.4 CRDi Magna,22.4 kgm at 1750-2750rpm,5.0,105000,Manual,Second Owner,1396 CC,90 bhp,Diesel
525,Dealer,2016,11.36 kmpl,Toyota Innova Crysta 2.8 ZX AT BSIV,360Nm@ 1200-3400rpm,7.0,42163,Automatic,Second Owner,2755 CC,171.5 bhp,Diesel
526,Individual,2007,16.1 kmpl,Maruti 800 AC,59Nm@ 2500rpm,4.0,73257,Manual,First Owner,796 CC,37 bhp,Petrol
527,Individual,2009,19.7 kmpl,Maruti Alto Std,62Nm@ 3000rpm,5.0,70000,Manual,Fourth & Above Owner,796 CC,46.3 bhp,Petrol
528,Individual,2017,27.3 kmpl,Honda Jazz 1.5 S i DTEC,200Nm@ 1750rpm,5.0,50000,Manual,First Owner,1498 CC,98.6 bhp,Diesel
529,Individual,2017,19.0 kmpl,Honda Jazz 1.2 V AT i VTEC Privilege,110Nm@ 4800rpm,5.0,40000,Automatic,First Owner,1199 CC,88.7 bhp,Petrol
530,Individual,2016,22.74 kmpl,Maruti Alto 800 LXI,69Nm@ 3500rpm,5.0,65000,Manual,Second Owner,796 CC,47.3 bhp,Petrol
531,Individual,2016,26.59 kmpl,Maruti Swift Dzire LDI,190Nm@ 2000rpm,5.0,120000,Manual,Third Owner,1248 CC,74 bhp,Diesel
532,Dealer,2016,22.54 kmpl,Hyundai i20 Asta Option 1.4 CRDi,219.7Nm@ 1500-2750rpm,5.0,53000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
533,Trustmark Dealer,2016,18.2 kmpl,Honda Jazz VX,110Nm@ 4800rpm,5.0,56494,Manual,First Owner,1199 CC,88.7 bhp,Petrol
534,Individual,2010,15.8 kmpl,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,96 Nm at 3000 rpm,5.0,48000,Manual,First Owner,1172 CC,65 bhp,Petrol
535,Individual,2013,18.5 kmpl,Hyundai i20 Asta 1.2,113.7Nm@ 4000rpm,5.0,120000,Manual,First Owner,1197 CC,82.85 bhp,Petrol
536,Trustmark Dealer,2013,21.79 kmpl,Maruti Wagon R LXI,90Nm@ 3500rpm,5.0,58343,Manual,First Owner,998 CC,67.05 bhp,Petrol
537,Individual,2008,17.3 km/kg,Maruti Wagon R LXI DUO BSIII,"7.8@ 4,500(kgm@ rpm)",5.0,80000,Manual,Second Owner,1061 CC,57.5 bhp,LPG
538,Trustmark Dealer,2016,18.2 kmpl,Honda Jazz VX,110Nm@ 4800rpm,5.0,56494,Manual,First Owner,1199 CC,88.7 bhp,Petrol
539,Individual,2011,11.57 kmpl,Tata New Safari DICOR 2.2 EX 4x2,320Nm@ 1700-2700rpm,7.0,80000,Manual,Third Owner,2179 CC,138.1 bhp,Diesel
540,Individual,2018,23.0 kmpl,Datsun RediGO AMT 1.0 S,91Nm@ 4250rpm,5.0,20000,Automatic,First Owner,999 CC,67 bhp,Petrol
541,Individual,2013,22.74 kmpl,Maruti Alto 800 VXI,69Nm@ 3500rpm,5.0,60000,Manual,Fourth & Above Owner,796 CC,47.3 bhp,Petrol
542,Individual,2017,16.8 kmpl,Maruti Omni E MPI STD BS IV,59Nm@ 2500rpm,8.0,40000,Manual,First Owner,796 CC,34.2 bhp,Petrol
543,Dealer,2014,19.1 kmpl,Hyundai Xcent 1.2 Kappa S,114Nm@ 4000rpm,5.0,121000,Manual,First Owner,1197 CC,82 bhp,Petrol
544,Individual,1998,13.1 kmpl,Opel Astra 1.6,121Nm@ 2800rpm,5.0,110000,Manual,Third Owner,1598 CC,77 bhp,Petrol
545,Individual,2014,23.95 kmpl,Maruti Alto K10 VXI,90Nm@ 3500rpm,5.0,100000,Manual,First Owner,998 CC,67.05 bhp,Petrol
546,Individual,2013,20.46 kmpl,Renault Duster 85PS Diesel RxL Optional,200Nm@ 1900rpm,5.0,100600,Manual,Third Owner,1461 CC,83.8 bhp,Diesel
547,Individual,2011,13.55 kmpl,Tata Sumo MKII GX BS IV,250Nm@ 1500-3000rpm,7.0,90000,Manual,Second Owner,2179 CC,118.35 bhp,Diesel
548,Individual,2013,21.9 kmpl,Hyundai i20 Magna 1.4 CRDi (Diesel),219.6Nm@ 1500-2750rpm,5.0,70000,Manual,Second Owner,1396 CC,88.76 bhp,Diesel
549,Individual,2011,15.37 kmpl,Maruti Eeco 7 Seater Standard BSIV,101Nm@ 3000rpm,7.0,100000,Manual,Second Owner,1196 CC,73 bhp,Petrol
550,Individual,2017,23.1 kmpl,Maruti Celerio VXI AT,90Nm@ 3500rpm,5.0,30000,Automatic,Second Owner,998 CC,67.04 bhp,Petrol
551,Individual,2013,22.1 kmpl,Chevrolet Sail Hatchback Diesel,205Nm@ 1750rpm,5.0,68000,Manual,First Owner,1248 CC,76.9 bhp,Diesel
552,Dealer,2010,21.43 kmpl,Toyota Corolla Altis Diesel D4DG,205Nm@ 1800-2800rpm,5.0,83585,Manual,First Owner,1364 CC,87.2 bhp,Diesel
553,Dealer,2015,28.4 kmpl,Maruti Swift VDI,190Nm@ 2000rpm,5.0,87847,Manual,First Owner,1248 CC,74 bhp,Diesel
554,Individual,2017,18.6 kmpl,Hyundai i20 1.2 Asta Option,114.7Nm@ 4000rpm,5.0,30000,Manual,First Owner,1197 CC,81.83 bhp,Petrol
555,Individual,2019,17.0 kmpl,Mahindra XUV300 W8 Option BSIV,200Nm@ 2000-3500rpm,5.0,22000,Manual,First Owner,1197 CC,110 bhp,Petrol
556,Individual,2011,18.6 kmpl,Ford Fiesta Classic 1.4 Duratorq LXI,160Nm@ 2000rpm,5.0,93500,Manual,Second Owner,1388 CC,67 bhp,Diesel
557,Dealer,2018,16.02 kmpl,Maruti Ertiga VXI,130Nm@ 4000rpm,7.0,47000,Manual,Second Owner,1373 CC,93.7 bhp,Petrol
558,Individual,2017,17.1 kmpl,Jeep Compass 2.0 Limited,350Nm@ 1750-2500rpm,5.0,50000,Manual,First Owner,1956 CC,170 bhp,Diesel
559,Individual,2018,18.6 kmpl,Hyundai i20 1.2 Spotz,114.7Nm@ 4000rpm,5.0,25000,Manual,First Owner,1197 CC,81.83 bhp,Petrol
560,Individual,2012,19.3 kmpl,Maruti Swift Dzire VDi,190Nm@ 2000rpm,5.0,58400,Manual,Second Owner,1248 CC,73.9 bhp,Diesel
561,Individual,2017,18.49 kmpl,Mahindra TUV 300 T8,240Nm@ 1600-2800rpm,7.0,70000,Manual,First Owner,1493 CC,100 bhp,Diesel
562,Individual,2017,22.54 kmpl,Hyundai i20 1.4 Sportz,219.7Nm@ 1500-2750rpm,5.0,80000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
563,Individual,2019,25.1 kmpl,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,200Nm@ 1750rpm,5.0,15000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
564,Individual,2010,17.92 kmpl,Hyundai Santro Xing GLS,96.1Nm@ 3000rpm,5.0,56000,Manual,Third Owner,1086 CC,62.1 bhp,Petrol
565,Individual,2007,18.9 kmpl,Maruti Wagon R AX Minor,84Nm@ 3500rpm,5.0,63000,Automatic,Third Owner,1061 CC,67 bhp,Petrol
566,Individual,2011,12.6 kmpl,Maruti SX4 ZXI AT,145Nm@ 4100rpm,5.0,65000,Automatic,Third Owner,1586 CC,103.3 bhp,Petrol
567,Individual,2016,18.49 kmpl,Mahindra TUV 300 T8,240Nm@ 1600-2800rpm,7.0,50000,Manual,First Owner,1493 CC,100 bhp,Diesel
568,Individual,2010,15.26 kmpl,Chevrolet Aveo U-VA 1.2 LS,110Nm@ 4400rpm,5.0,60000,Manual,First Owner,1150 CC,74.9 bhp,Petrol
569,Individual,2015,13.5 kmpl,Mitsubishi Pajero Sport Anniversary Edition,400Nm@ 2000-2500rpm,7.0,160000,Manual,Second Owner,2477 CC,178 bhp,Diesel
570,Individual,2018,23.84 kmpl,Tata Tiago 1.2 Revotron XT,114Nm@ 3500rpm,5.0,25000,Manual,First Owner,1199 CC,84 bhp,Petrol
571,Individual,2018,17.4 kmpl,Honda City i-VTEC VX,145Nm@ 4600rpm,5.0,5500,Manual,First Owner,1497 CC,117.6 bhp,Petrol
572,Dealer,2015,17.4 kmpl,Honda City i VTEC VX Option,145Nm@ 4600rpm,5.0,39000,Manual,First Owner,1497 CC,117.3 bhp,Petrol
573,Individual,2009,13.8 kmpl,Ford Ikon 1.4 TDCi DuraTorq,160Nm@ 2000rpm,5.0,140000,Manual,Second Owner,1399 CC,68 bhp,Diesel
574,Individual,2001,,Hyundai Santro GLS I - Euro II,,,70000,Manual,Second Owner,,,Petrol
575,Individual,2017,19.34 kmpl,Nissan Micra Fashion Edition XL CVT,104Nm@ 4000rpm,5.0,26000,Automatic,First Owner,1198 CC,76 bhp,Petrol
576,Individual,2008,12.7 kmpl,Mahindra Scorpio SLX 4WD LE,290Nm@ 1800-2800rpm,8.0,120000,Manual,Fourth & Above Owner,2609 CC,120 bhp,Diesel
577,Individual,2007,12.8 kmpl,Toyota Innova 2.5 V Diesel 7-seater,20.4@ 1400-3400(kgm@ rpm),7.0,260000,Manual,Third Owner,2494 CC,102 bhp,Diesel
578,Individual,2012,,Maruti Omni E 8 Str STD,,,60000,Manual,Third Owner,,,Petrol
579,Individual,2012,21.43 kmpl,Toyota Corolla Altis Diesel D4DG,205Nm@ 1800-2800rpm,5.0,125000,Manual,Second Owner,1364 CC,87.2 bhp,Diesel
580,Individual,2011,14.4 kmpl,Volkswagen Vento Petrol Highline AT,153Nm@ 3800rpm,5.0,140000,Automatic,Second Owner,1598 CC,103.6 bhp,Petrol
581,Dealer,2018,16.8 kmpl,Volvo V40 D3 R-Design,350Nm@ 1500-2750rpm,5.0,2000,Automatic,First Owner,1984 CC,150 bhp,Diesel
582,Individual,2015,18.6 kmpl,Hyundai i20 Magna 1.2,114.7Nm@ 4000rpm,5.0,35000,Manual,First Owner,1197 CC,81.83 bhp,Petrol
583,Individual,2008,13.2 kmpl,Hyundai Accent GLE,"12.5@ 3,500(kgm@ rpm)",5.0,95200,Manual,Third Owner,1495 CC,94 bhp,Petrol
584,Individual,2017,16.5 kmpl,Mahindra Bolero Power Plus LX,195Nm@ 1400-2200rpm,7.0,80000,Manual,First Owner,1493 CC,70 bhp,Diesel
585,Dealer,2018,16.8 kmpl,Volvo V40 D3 R-Design,350Nm@ 1500-2750rpm,5.0,2000,Automatic,First Owner,1984 CC,150 bhp,Diesel
586,Individual,2011,16.52 kmpl,Chevrolet Optra Magnum 2.0 LT,305Nm@ 2000rpm,5.0,119000,Manual,Second Owner,1991 CC,123.7 bhp,Diesel
587,Individual,2016,21.1 kmpl,Hyundai EON Era Plus,74.5Nm@ 4000rpm,5.0,110000,Manual,First Owner,814 CC,55.2 bhp,Petrol
588,Individual,2014,21.1 kmpl,Hyundai EON Magna Plus,74.5Nm@ 4000rpm,5.0,25000,Manual,First Owner,814 CC,55.2 bhp,Petrol
589,Dealer,2016,14.3 kmpl,Skoda Rapid 1.6 MPI AT Elegance,153Nm@ 3800rpm,5.0,11000,Automatic,First Owner,1598 CC,103.5 bhp,Petrol
590,Dealer,2015,22.71 kmpl,Nissan Sunny XV D,200Nm@ 2000rpm,5.0,61000,Manual,Second Owner,1461 CC,84.8 bhp,Diesel
591,Individual,2012,23.2 kmpl,Maruti Ritz VDi,190Nm@ 2000rpm,5.0,70000,Manual,Second Owner,1248 CC,73.94 bhp,Diesel
592,Individual,2014,15.4 kmpl,Mahindra Scorpio S4 9 Seater,280Nm@ 1800-2800rpm,9.0,25000,Manual,First Owner,2179 CC,120 bhp,Diesel
593,Individual,2015,20.51 kmpl,Maruti Wagon R LXI BS IV,90Nm@ 3500rpm,5.0,50000,Manual,Second Owner,998 CC,67.04 bhp,Petrol
594,Individual,2003,16.1 kmpl,Maruti 800 EX BSII,59Nm@ 2500rpm,4.0,36088,Manual,First Owner,796 CC,37 bhp,Petrol
595,Individual,2013,21.27 kmpl,Hyundai i20 Asta 1.4 CRDi,219.6Nm@ 1500-2750rpm,5.0,110000,Manual,Second Owner,1396 CC,88.76 bhp,Diesel
596,Dealer,2018,27.39 kmpl,Maruti Baleno Alpha 1.3,190Nm@ 2000rpm,5.0,38817,Manual,First Owner,1248 CC,74 bhp,Diesel
597,Dealer,2018,16.8 kmpl,Volvo V40 D3 R-Design,350Nm@ 1500-2750rpm,5.0,2000,Automatic,First Owner,1984 CC,150 bhp,Diesel
598,Individual,2015,22.77 kmpl,Ford EcoSport 1.5 TDCi Titanium BSIV,205Nm@ 1750-3250rpm,5.0,135000,Manual,First Owner,1498 CC,98.59 bhp,Diesel
599,Individual,2017,25.83 kmpl,Ford Figo 1.5D Base MT,215Nm@ 1750-3000rpm,5.0,113000,Manual,First Owner,1498 CC,99 bhp,Diesel
600,Dealer,2019,16.78 kmpl,BMW X4 M Sport X xDrive20d,400Nm@ 1750-2500rpm,5.0,8500,Automatic,First Owner,1995 CC,190 bhp,Diesel
601,Individual,2012,18.5 kmpl,Hyundai i20 Sportz 1.2,113.7Nm@ 4000rpm,5.0,120000,Manual,First Owner,1197 CC,82.85 bhp,Petrol
602,Individual,2013,22.9 kmpl,Maruti Swift VDI,190Nm@ 2000rpm,5.0,120000,Manual,Fourth & Above Owner,1248 CC,74 bhp,Diesel
603,Individual,2012,25.44 kmpl,Chevrolet Beat Diesel LT,150Nm@ 1750rpm,5.0,70000,Manual,Second Owner,936 CC,57.6 bhp,Diesel
604,Individual,2013,21.1 kmpl,Hyundai EON Magna Plus,74.5Nm@ 4000rpm,5.0,40000,Manual,First Owner,814 CC,55.2 bhp,Petrol
605,Individual,2015,13.93 kmpl,Tata Safari DICOR 2.2 EX 4x2,320Nm@ 1700-2700rpm,7.0,60000,Manual,First Owner,2179 CC,138.03 bhp,Diesel
606,Trustmark Dealer,2019,19.0 kmpl,Honda Amaze V CVT Petrol BSIV,110Nm@ 4800rpm,5.0,7032,Automatic,First Owner,1199 CC,88.76 bhp,Petrol
607,Individual,2014,25.0 kmpl,Tata Indica V2 eLS,140Nm@ 1800-3000rpm,5.0,90000,Manual,First Owner,1396 CC,69 bhp,Diesel
608,Individual,2008,14.8 kmpl,Mitsubishi Lancer 2.0 GLd,"12.5@ 3,000(kgm@ rpm)",5.0,120000,Manual,Third Owner,1998 CC,68 bhp,Diesel
609,Individual,2018,22.5 kmpl,Datsun RediGO 1.0 S,91Nm@ 4250rpm,5.0,7000,Manual,First Owner,999 CC,67 bhp,Petrol
610,Individual,2016,17.19 kmpl,Hyundai i20 Active 1.2 SX with AVN,114.73Nm@ 4000rpm,5.0,120000,Manual,Second Owner,1197 CC,81.86 bhp,Petrol
611,Individual,2016,11.36 kmpl,Toyota Innova Crysta 2.8 ZX AT BSIV,360Nm@ 1200-3400rpm,7.0,120000,Automatic,First Owner,2755 CC,171.5 bhp,Diesel
612,Individual,2007,15.3 kmpl,Tata Indica GLS BS IV,102Nm@ 2600rpm,5.0,38000,Manual,Second Owner,1193 CC,65.3 bhp,Petrol
613,Individual,2003,12.7 kmpl,Mahindra Scorpio 2.6 DX,"28.3@ 1,700-2,200(kgm@ rpm)",8.0,120000,Manual,Third Owner,2609 CC,116.6 bhp,Diesel
614,Individual,2013,15.1 kmpl,Mahindra XUV500 W6 2WD,330Nm@ 1600-2800rpm,7.0,18000,Manual,First Owner,2179 CC,140 bhp,Diesel
615,Individual,2018,17.0 kmpl,Hyundai Verna VTVT 1.6 SX,151Nm@ 4850rpm,5.0,13887,Manual,First Owner,1591 CC,121.3 bhp,Petrol
616,Individual,2017,25.17 kmpl,Renault KWID RXT,72Nm@ 4386rpm,5.0,28000,Manual,First Owner,799 CC,53.3 bhp,Petrol
617,Individual,2016,16.8 kmpl,Maruti Omni MPI STD BSIV,59Nm@ 2500rpm,5.0,40000,Manual,First Owner,796 CC,34.2 bhp,Petrol
618,Individual,2014,21.1 kmpl,Hyundai EON Era Plus,74.5Nm@ 4000rpm,5.0,20000,Manual,First Owner,814 CC,55.2 bhp,Petrol
619,Individual,2018,24.7 kmpl,Maruti Alto 800 LXI,69Nm@ 3500rpm,5.0,30000,Manual,First Owner,796 CC,47.3 bhp,Petrol
620,Individual,2018,21.4 kmpl,Maruti Baleno Delta 1.2,115Nm@ 4000rpm,5.0,30000,Manual,First Owner,1197 CC,83.1 bhp,Petrol
621,Individual,2014,22.1 kmpl,Chevrolet Sail LT ABS,190Nm@ 1750rpm,5.0,38000,Manual,First Owner,1248 CC,74 bhp,Diesel
622,Individual,2004,16.1 kmpl,Tata Indigo LX,"13.5@ 2,500(kgm@ rpm)",5.0,60000,Manual,Third Owner,1405 CC,70 bhp,Diesel
623,Individual,2013,21.1 kmpl,Hyundai EON Magna Optional,74.5Nm@ 4000rpm,5.0,40000,Manual,Second Owner,814 CC,55.2 bhp,Petrol
624,Individual,2016,17.0 kmpl,Volkswagen Ameo 1.2 MPI Comfortline,110Nm@ 3750rpm,5.0,35000,Manual,First Owner,1198 CC,73.75 bhp,Petrol
625,Individual,2010,14.0 kmpl,Tata Sumo MKII Turbo 2.0 LX,190Nm@ 2000-3000,9.0,90000,Manual,First Owner,1948 CC,90 bhp,Diesel
626,Individual,2006,16.1 kmpl,Maruti 800 AC,59Nm@ 2500rpm,4.0,40000,Manual,Third Owner,796 CC,37 bhp,Petrol
627,Individual,2015,22.54 kmpl,Hyundai i20 Sportz 1.4 CRDi,219.7Nm@ 1500-2750rpm,5.0,60000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
628,Individual,2018,24.2 kmpl,Maruti Ertiga 1.5 VDI,225Nm@ 1500-2500rpm,7.0,59000,Manual,First Owner,1498 CC,93.87 bhp,Diesel
629,Individual,2016,25.17 kmpl,Renault KWID RXT,72Nm@ 4386rpm,5.0,60000,Manual,First Owner,799 CC,53.3 bhp,Petrol
630,Individual,2018,21.21 kmpl,Maruti Swift Dzire VXI 1.2,113Nm@ 4200rpm,5.0,15000,Manual,First Owner,1197 CC,81.80 bhp,Petrol
631,Individual,2016,18.2 kmpl,Chevrolet Enjoy 1.3 TCDi LS 7,172.5Nm@ 1750rpm,7.0,110000,Manual,Second Owner,1248 CC,73.74 bhp,Diesel
632,Individual,2010,19.0 kmpl,Maruti Zen Estilo LXI BS IV,90Nm@ 3500rpm,5.0,55000,Manual,First Owner,998 CC,67.1 bhp,Petrol
633,Individual,2015,19.49 kmpl,Nissan Micra Active XV S,104Nm@ 4000rpm,5.0,80000,Manual,First Owner,1198 CC,67.04 bhp,Petrol
634,Individual,2010,11.8 kmpl,Hyundai Sonata CRDi M/T,32.1kgm@ 2000rpm,5.0,120000,Manual,Second Owner,1991 CC,150 bhp,Diesel
635,Trustmark Dealer,2017,16.78 kmpl,Toyota Etios VX,132Nm@ 3000rpm,5.0,25538,Manual,First Owner,1496 CC,88.73 bhp,Petrol
636,Individual,2018,23.5 kmpl,Mahindra Supro LX 8 Str,98Nm@ 1600-3000rpm,8.0,50000,Manual,First Owner,909 CC,45 bhp,Diesel
637,Individual,2016,23.9 kmpl,Hyundai Verna 1.6 CRDi S,259.9Nm@ 1900-2750rpm,5.0,80000,Manual,First Owner,1582 CC,126.2 bhp,Diesel
638,Trustmark Dealer,2016,19.16 kmpl,Toyota Camry 2.5 Hybrid,213Nm@ 4500rpm,5.0,68089,Automatic,First Owner,2494 CC,157.7 bhp,Petrol
639,Individual,2006,12.8 kmpl,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,20.4@ 1400-3400(kgm@ rpm),8.0,140000,Manual,Second Owner,2494 CC,102 bhp,Diesel
640,Individual,2013,21.1 kmpl,Hyundai EON Magna Plus,74.5Nm@ 4000rpm,5.0,68697,Manual,Third Owner,814 CC,55.2 bhp,Petrol
641,Individual,2011,23.0 kmpl,Hyundai i20 1.4 CRDi Sportz,22.4 kgm at 1750-2750rpm,5.0,116500,Manual,First Owner,1396 CC,90 bhp,Diesel
642,Individual,2012,18.5 kmpl,Maruti Ritz VXi,114Nm@ 4000rpm,5.0,40000,Manual,First Owner,1197 CC,85.80 bhp,Petrol
643,Individual,2015,13.5 kmpl,Mitsubishi Pajero Sport Anniversary Edition,400Nm@ 2000-2500rpm,7.0,160000,Manual,Second Owner,2477 CC,178 bhp,Diesel
644,Trustmark Dealer,2016,19.16 kmpl,Toyota Camry 2.5 Hybrid,213Nm@ 4500rpm,5.0,68089,Automatic,First Owner,2494 CC,157.7 bhp,Petrol
645,Dealer,2017,19.56 kmpl,Maruti Baleno Alpha CVT,113Nm@ 4200rpm,5.0,51000,Automatic,First Owner,1197 CC,81.80 bhp,Petrol
646,Individual,2010,17.8 kmpl,Ford Fiesta 1.4 SXi TDCi ABS,"16.3@ 2,000(kgm@ rpm)",5.0,170000,Manual,Second Owner,1399 CC,68 bhp,Diesel
647,Individual,2011,26.0 kmpl,Tata Nano Cx,48Nm@ 3000rpm,4.0,25000,Manual,Second Owner,624 CC,35 bhp,Petrol
648,Dealer,2018,18.6 kmpl,Hyundai i20 Asta 1.2,114.7Nm@ 4000rpm,5.0,28451,Manual,First Owner,1197 CC,81.83 bhp,Petrol
649,Individual,2017,21.94 km/kg,Maruti Eeco CNG 5 Seater AC BSIV,85Nm@ 3000rpm,5.0,60000,Manual,First Owner,1196 CC,61.7 bhp,CNG
650,Individual,2014,12.99 kmpl,Toyota Innova 2.5 VX (Diesel) 7 Seater,200Nm@ 1200-3600rpm,7.0,60000,Manual,Second Owner,2494 CC,100.6 bhp,Diesel
651,Dealer,2018,20.65 kmpl,Maruti Ciaz Zeta,138Nm@ 4400rpm,5.0,64000,Manual,First Owner,1462 CC,103.25 bhp,Petrol
652,Trustmark Dealer,2016,18.2 kmpl,Honda Jazz VX,110Nm@ 4800rpm,5.0,56494,Manual,First Owner,1199 CC,88.7 bhp,Petrol
653,Individual,2017,16.3 kmpl,Jeep Compass 2.0 Limited 4X4,350Nm@ 1750-2500rpm,5.0,32000,Manual,First Owner,1956 CC,170 bhp,Diesel
654,Dealer,2018,12.9 kmpl,Toyota Fortuner 2.8 2WD AT BSIV,450Nm@ 1600-2400rpm,7.0,100000,Automatic,First Owner,2755 CC,174.5 bhp,Diesel
655,Dealer,2018,22.0 kmpl,Maruti Swift AMT ZXI,113Nm@ 4200rpm,5.0,69779,Automatic,First Owner,1197 CC,81.80 bhp,Petrol
656,Dealer,2016,17.8 kmpl,Honda City i VTEC VX Option,145Nm@ 4600rpm,5.0,16151,Manual,First Owner,1497 CC,117.3 bhp,Petrol
657,Individual,2007,18.2 kmpl,Maruti Zen Estilo VXI BSIII,90Nm@ 3500rpm,5.0,74800,Manual,Second Owner,998 CC,67.1 bhp,Petrol
658,Dealer,2016,14.3 kmpl,Skoda Rapid 1.6 MPI AT Elegance,153Nm@ 3800rpm,5.0,11000,Automatic,First Owner,1598 CC,103.5 bhp,Petrol
